time_ns,resetn,m_valid,m_write,m_addr,m_ready,m_rdata,nn_valid,nn_write,nn_addr,nn_ready,nn_rdata,axis_start,axis_busy,axis_done,in_tvalid,in_tready,in_tdata,in_tlast,out_tvalid,out_tready,out_tdata,out_tlast,weight0,weight1,weight2,weight3,weight4,input0,input1,result0,result1
575000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
585000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
595000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
605000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
615000,1,1,0,00010004,0,cafebabe,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
625000,1,1,0,00010004,1,13579bdf,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
635000,1,1,0,00010004,0,13579bdf,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
645000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
655000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
665000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
675000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
685000,1,1,0,00011000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
695000,1,1,0,00011000,1,000000d8,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
705000,1,1,0,00011000,0,000000d8,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
715000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
725000,1,1,0,00011004,0,000000d8,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
735000,1,1,0,00011004,1,00000005,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
745000,1,1,0,00011004,0,00000005,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
755000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
765000,1,1,0,0001100c,0,00000005,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
775000,1,1,0,0001100c,1,52465430,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
